n,id,type,hearts,clubs,spades,diamonds,blocked,occupied,execution_time,score
10,10,asp,90,80,58,26,16,17,300.0,0
10,10,mzn,90,80,58,26,16,17,300.0,164
10,11,asp,96,55,100,28,32,23,300.0,0
10,11,mzn,96,55,100,28,32,23,300.0,128
10,12,asp,26,37,38,15,1,13,300.0,0
10,12,mzn,26,37,38,15,1,13,300.0,197
10,13,asp,6,30,31,65,2,23,300.0,0
10,13,mzn,6,30,31,65,2,23,300.0,183
10,14,asp,64,90,23,70,18,30,300.0,0
10,14,mzn,64,90,23,70,18,30,300.0,158
10,15,asp,100,75,86,29,2,12,300.0,0
10,15,mzn,100,75,86,29,2,12,300.0,193
10,16,asp,39,3,30,86,2,6,300.0,0
10,16,mzn,39,3,30,86,2,6,300.0,147
10,17,asp,30,26,53,34,1,6,300.0,0
10,17,mzn,30,26,53,34,1,6,300.0,224
10,18,asp,9,90,63,46,23,3,300.0,0
10,18,mzn,9,90,63,46,23,3,300.0,138
10,19,asp,27,76,43,90,31,14,300.0,0
10,19,mzn,27,76,43,90,31,14,300.0,116
10,20,asp,44,97,30,39,10,13,300.0,0
10,20,mzn,44,97,30,39,10,13,300.0,184
